"Sed_ID";"2000";"500";"250";"63";"0";"sedID";"Sediment";"Texture";"D50(um)";"Mean.fw.phi";"Mean.fw.um";"Sand";"mud";"sed_Id";"Sed_class1";"Sed_class"
3878;0;0.5;1.51;85.36;12.63;"X3878";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";115.186;3.118;44.769;87.37;12.63;"3878";"Very Fine Sand";"Very Fine Sand"
3880;0;0.26;0.83;78.1;20.8;"X3880";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";105.469;3.667;14.655;79.199;20.801;"3880";"Very Fine Sand";"Very Fine Sand"
3886;0;0.54;2.63;50.41;46.41;"X3886";"Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic";"Muddy Sand";69.492;4.76;1.6;53.587;46.413;"3886";"Very Coarse Silt";"Very Coarse Silt"
3888;0;0.27;0.88;95.57;3.28;"X3888";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";123.592;3.016;54.87;96.723;3.277;"3888";"Very Fine Sand";"Very Fine Sand"
3889;0;0.37;0.89;92.56;6.18;"X3889";"Very Fine Sand,Moderately Sorted,Fine Skewed,Leptokurtic";"Sand";120.988;3.047;51.658;93.819;6.181;"3889";"Very Fine Sand";"Very Fine Sand"
3890;0;0.68;2.7;83.34;13.28;"X3890";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";115.634;3.112;44.777;86.719;13.281;"3890";"Very Fine Sand";"Very Fine Sand"
3895;0.07;0.44;1.18;95.13;3.19;"X3895";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Slightly Gravelly Sand";124.144;3.01;55.36;96.748;3.185;"3895";"Very Fine Sand";"Very Fine Sand"
3896;0;0.87;6.07;90.73;2.33;"X3896";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";129.972;2.944;60.642;97.672;2.328;"3896";"Fine Sand";"Fine Sand"
3899;0;0.89;1.12;90.98;7.02;"X3899";"Very Fine Sand,Moderately Sorted,Fine Skewed,Leptokurtic";"Sand";120.827;3.049;51.197;92.984;7.016;"3899";"Very Fine Sand";"Very Fine Sand"
3901;0;0.27;3.23;90.47;6.03;"X3901";"Very Fine Sand,Moderately Sorted,Fine Skewed,Leptokurtic";"Sand";123.102;3.022;53.372;93.97;6.03;"3901";"Very Fine Sand";"Very Fine Sand"
3902;0;0.41;1.17;87.4;11.02;"X3902";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";116.495;3.102;46.361;88.981;11.019;"3902";"Very Fine Sand";"Very Fine Sand"
3903;0;0.58;6.03;92.8;0.58;"X3903";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";131.248;2.93;62.519;99.418;0.582;"3903";"Fine Sand";"Fine Sand"
3904;0;0.14;2.39;97.24;0.24;"X3904";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";127.552;2.971;59.393;99.763;0.237;"3904";"Fine Sand";"Fine Sand"
3905;0;0.26;2.07;92.34;5.33;"X3905";"Very Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";122.723;3.027;53.36;94.669;5.331;"3905";"Very Fine Sand";"Very Fine Sand"
3910;0;0.21;1.89;93.62;4.28;"X3910";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";123.503;3.017;54.406;95.72;4.28;"3910";"Very Fine Sand";"Very Fine Sand"
3914;0;0.14;0.87;96;2.99;"X3914";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";123.729;3.015;55.093;97.009;2.991;"3914";"Very Fine Sand";"Very Fine Sand"
3915;0;0.22;2.51;93.13;4.13;"X3915";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";124.214;3.009;55.044;95.872;4.128;"3915";"Very Fine Sand";"Very Fine Sand"
